"STORE_SN","AREA_SD_CODE","AREA_DETAIL_CODE","PREF_SN","STORE_NM","STORE_ADDR","STORE_SCORE","LATITUDE","LONGITUDE"
"S117193_1643878660039","01","012333","01000000","차마시는뜰","서울특별시 종로구 삼청동 35-169","0","37.5822218","126.9822898"
"S118087_1636946773855","01","011001","01000000","도봉산커피","서울특별시 도봉구 도봉동 282-316","0","37.6882745","127.0419507"
"S119032_1625640652750","01","011207","00010000","PRNT","서울 동작구 상도동 22-119 1층","0","37.5057277","126.9467629"
"S119840_1648438496764","01","011610","00100000","플로아127","서울특별시 성동구 성수동2가 269-248","0","37.5394034","127.0602365"
"S120275_1623823558684","01","012330","00010000","자하미술관","서울특별시 종로구 부암동 362-21 자하문 미술관","0","37.5893568224","126.9602831463"
"S122299_1655175660818","01","010607","10000000","시그니처 브런치카페","서울특별시 광진구 화양동 5-22","0","37.5425574","127.0710223"
"S122304_1648438496774","01","012201","00100000","스튜디오웬즈데이","서울특별시 은평구 갈현동 393-10 국용빌딩","0","37.6223166","126.9195181"
"S122596_1643878660088","01","012330","01000000","에이커피 서울","서울특별시 종로구 부암동 44-5","0","37.5941295","126.967181"
"S122752_1648438496780","01","011808","00100000","라오크 잠실점","서울특별시 송파구 송파동 31-2 현대레이크빌","0","37.5107414","127.107"
"S122799_1649657876431","01","012011","00010000","러빙베이","서울특별시 영등포구 문래동2가 14-7","0","37.5144186","126.8941046"
"S123881_1636946773896","01","011001","01000000","카페너랑나랑","서울특별시 도봉구 도봉동 62-43 도봉투웨니퍼스트2단지","0","37.6825206","127.0476455"
"S123980_1628829838735","01","010108","00010000","K현대미술관","서울특별시 강남구 신사동 666-7","0","37.5242986","127.0390958"
"S124029_1637805807068","01","011413","01000000","카페프루티","서울특별시 서대문구 창천동 46-2 진영빌딩","0","37.5589122","126.9383118"
"S125591_1649657876438","01","012501","00010000","큐피로스 잡화점","서울특별시 중랑구 망우동 352-2","0","37.6040729","127.103353"
"S125699_1643878660123","01","012416","01000000","크림시크","서울특별시 중구 명동1가 59-1 명동증권빌딩","0","37.5643559","126.9839826"
"S126206_1648438496799","01","011504","00100000","스무디 원데이클래스","서울특별시 서초구 서초동 1330-18 현대기림오피스텔","0","37.4940339","127.0282402"
"S126485_1623823558785","01","012435","00001000","남산공원(서울)","서울특별시 중구 예장동 산5-85 서울시청 남산별관","0","37.5557113068","126.99225063"
"S126510_1623823558895","01","012387","00001000","종묘 [유네스코 세계문화유산]","서울특별시 종로구 훈정동 1-2 종묘공원","0","37.5731898785","126.9948998937"
"S126517_1623823558835","01","012325","00001000","서울 문묘와 성균관","서울특별시 종로구 명륜3가 53 유림회관","0","37.5855329073","126.9959633351"
"S126535_1623823558786","01","012115","00001000","남산서울타워","서울특별시 용산구 용산동2가 산1-3 YTN서울타워","0","37.5511089858","126.9878983791"
"S126804_1623823558833","01","012417","00001000","서울 명동성당","서울특별시 중구 명동2가 1-1 명동성당","0","37.5633131117","126.9872814233"
"S127016_1623823558840","01","012123","00001000","서울 용산신학교와 원효로 예수성심성당","서울특별시 용산구 원효로4가 1-1","0","37.5344186461","126.9537436297"
"S127026_1655175660516","01","011307","01000000","젤라떼리아 에따","서울특별시 마포구 동교동 200-1","0","37.5580401","126.9218773"
"S127269_1623823558909","01","010114","00001000","청담공원","서울특별시 강남구 청담동 66-1 강남청소년수련관","0","37.5211580726","127.0526683289"
"S127642_1623823558902","01","012350","00001000","창덕궁과 후원 [유네스코 세계문화유산]","서울특별시 종로구 와룡동 2-71 창덕궁","0","37.5809583673","126.9919888278"
"S128217_1648438496815","01","012209","00100000","담다꽃케이크","서울특별시 은평구 응암동 427-42 응암하이빌","0","37.5950748","126.9187694"
"S128776_1623823558730","01","012471","00001000","남산 케이블카","서울특별시 중구 회현동1가 산1-19","0","37.556997122","126.9841041137"
"S128793_1648438496821","01","011303","00100000","곰미커피","서울특별시 마포구 노고산동 57-45","0","37.5544324","126.9348509"
"S129367_1655175662095","01","010902","00100000","다트프린스 노원점","서울특별시 노원구 상계동 593-1 화일빌딩","0","37.6572217","127.0622925"
"S129742_1623823558588","01","011811","00010000","롯데월드 가든스테이지","서울특별시 송파구 잠실동 40-1 롯데월드","0","37.5112294847","127.0979394903"
